action_date,reported_dt,product_category,recipient_parent,awarding_agency,dollars_obligated
2024-01-15,2024-01-20,aerospace,Acme Aerospace,DoD,60000000
2024-02-03,2024-02-09,aerospace,Borealis Systems,DoD,30000000
2024-03-22,2024-03-28,aerospace,Cirrus Metals,DoD,10000000
2024-04-11,2024-04-15,aerospace,Acme Aerospace,DoD,52000000
2024-05-06,2024-05-12,aerospace,Borealis Systems,DoD,38000000
2024-06-19,2024-06-24,aerospace,Cirrus Metals,DoD,14000000
2024-07-02,2024-07-08,aerospace,Acme Aerospace,DoD,71000000
2024-08-14,2024-08-20,aerospace,Borealis Systems,DoD,22000000
2024-09-27,2024-10-30,aerospace,Cirrus Metals,DoD,9000000
2024-01-09,2024-01-14,it_services,Delta Consulting,GSA,5000000
2024-01-28,2024-02-02,it_services,Everest Digital,GSA,5000000
2024-02-17,2024-02-23,it_services,Foxglove Labs,GSA,5000000
2024-03-05,2024-03-11,it_services,Granite Works,GSA,5000000
2024-04-23,2024-04-29,it_services,Delta Consulting,GSA,6000000
2024-05-30,2024-06-04,it_services,Everest Digital,GSA,4000000
2024-06-12,2024-06-18,it_services,Foxglove Labs,GSA,5500000
2024-07-25,2024-07-31,it_services,Granite Works,GSA,4500000
2024-08-08,2024-08-13,it_services,Delta Consulting,GSA,5200000
2024-09-16,2024-09-21,it_services,Everest Digital,GSA,4800000
2024-01-31,2024-02-05,pharma,Helios Pharma,HHS,40000000
2024-02-28,2024-03-04,pharma,Ironwood Bio,HHS,40000000
2024-03-19,2024-03-25,pharma,Helios Pharma,HHS,20000000
2024-04-08,2024-04-13,pharma,Ironwood Bio,HHS,35000000
2024-05-21,2024-05-27,pharma,Helios Pharma,HHS,45000000
2024-06-04,2024-06-10,pharma,Juniper Therapeutics,HHS,12000000
2024-07-17,2024-07-22,pharma,Ironwood Bio,HHS,30000000
2024-08-29,2024-09-03,pharma,Helios Pharma,HHS,26000000
2024-09-10,2024-09-16,pharma,Juniper Therapeutics,HHS,18000000
