order_date,cust_id,item_sku,category,stars,qty,line_total,status
2024-01-04,C001,SKU-100,coffee,5,2,24.00,completed
2024-01-11,C001,SKU-100,coffee,4,1,12.00,completed
2024-02-02,C001,SKU-214,tea,3,1,8.50,completed
2024-02-19,C001,SKU-330,mugs,5,1,18.00,completed
2024-03-08,C001,SKU-100,coffee,5,3,36.00,completed
2024-01-07,C002,SKU-214,tea,4,2,17.00,completed
2024-01-22,C002,SKU-214,tea,5,1,8.50,completed
2024-02-14,C002,SKU-455,syrup,2,1,6.25,completed
2024-03-01,C002,SKU-100,coffee,4,1,12.00,completed
2024-03-27,C002,SKU-214,tea,5,4,34.00,completed
2024-01-15,C003,SKU-330,mugs,3,1,18.00,completed
2024-02-06,C003,SKU-330,mugs,4,2,36.00,completed
2024-02-28,C003,SKU-500,grinder,5,1,89.00,completed
2024-03-14,C003,SKU-100,coffee,2,1,12.00,cancelled
2024-03-21,C003,SKU-455,syrup,4,3,18.75,completed
2024-01-19,C004,SKU-500,grinder,4,1,89.00,completed
2024-02-11,C004,SKU-100,coffee,5,2,24.00,completed
2024-02-25,C004,SKU-100,coffee,5,1,12.00,completed
2024-03-05,C004,SKU-214,tea,1,1,8.50,returned
2024-03-30,C004,SKU-330,mugs,4,2,36.00,completed
2024-01-28,C005,SKU-455,syrup,3,2,12.50,completed
2024-02-08,C005,SKU-100,coffee,4,1,12.00,completed
2024-02-22,C005,SKU-500,grinder,5,1,89.00,completed
2024-03-11,C005,SKU-500,grinder,5,1,89.00,completed
2024-03-25,C005,SKU-214,tea,2,1,8.50,completed
