viewer,title,rating
u001,Alien (1979),4.0
u001,American Beauty (1999),5.0
u001,American History X (1998),5.0
u001,Apocalypse Now (1979),4.0
u001,Back to the Future (1985),5.0
u001,Braveheart (1995),4.0
u001,"Clockwork Orange, A (1971)",5.0
u001,Dances with Wolves (1990),4.0
u001,E.T. the Extra-Terrestrial (1982),5.0
u001,Fargo (1996),5.0
u001,Fight Club (1999),5.0
u001,Forrest Gump (1994),4.0
u001,"Fugitive, The (1993)",5.0
u001,Full Metal Jacket (1987),5.0
u001,Gladiator (2000),5.0
u001,Goodfellas (1990),5.0
u001,"Green Mile, The (1999)",5.0
u001,Groundhog Day (1993),4.0
u001,Indiana Jones and the Last Crusade (1989),5.0
u001,Jurassic Park (1993),4.0
u001,L.A. Confidential (1997),5.0
u001,"Matrix, The (1999)",5.0
u001,Monty Python and the Holy Grail (1975),5.0
u001,Office Space (1999),5.0
u001,"Princess Bride, The (1987)",5.0
u001,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
u001,Reservoir Dogs (1992),5.0
u001,Saving Private Ryan (1998),4.0
u001,Schindler's List (1993),5.0
u001,Seven (a.k.a. Se7en) (1995),5.0
u001,"Silence of the Lambs, The (1991)",4.0
u001,Star Wars: Episode IV - A New Hope (1977),5.0
u001,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u001,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u001,"Terminator, The (1984)",5.0
u001,Toy Story (1995),4.0
u001,"Usual Suspects, The (1995)",5.0
u001,Willy Wonka & the Chocolate Factory (1971),5.0
u002,Aladdin (1992),4.0
u002,American Beauty (1999),5.0
u002,Casablanca (1942),5.0
u002,Fargo (1996),5.0
u002,"Fugitive, The (1993)",5.0
u002,Goodfellas (1990),4.0
u002,Groundhog Day (1993),4.0
u002,Indiana Jones and the Last Crusade (1989),4.0
u002,Monty Python and the Holy Grail (1975),5.0
u002,"Princess Bride, The (1987)",5.0
u002,"Silence of the Lambs, The (1991)",5.0
u002,"Sixth Sense, The (1999)",4.0
u002,Star Wars: Episode IV - A New Hope (1977),5.0
u002,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u002,Willy Wonka & the Chocolate Factory (1971),4.0
u003,Aladdin (1992),5.0
u003,Apollo 13 (1995),4.0
u003,Babe (1995),4.0
u003,Beauty and the Beast (1991),5.0
u003,Braveheart (1995),5.0
u003,Dances with Wolves (1990),5.0
u003,Forrest Gump (1994),5.0
u003,"Fugitive, The (1993)",5.0
u003,Independence Day (a.k.a. ID4) (1996),5.0
u003,Jurassic Park (1993),5.0
u003,"Lion King, The (1994)",5.0
u003,Seven (a.k.a. Se7en) (1995),4.0
u003,"Shawshank Redemption, The (1994)",5.0
u003,"Silence of the Lambs, The (1991)",4.0
u003,Speed (1994),5.0
u003,True Lies (1994),4.0
u003,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.0
u004,2001: A Space Odyssey (1968),4.0
u004,American Beauty (1999),4.0
u004,Apocalypse Now (1979),4.0
u004,Apollo 13 (1995),4.5
u004,Back to the Future (1985),5.0
u004,"Beautiful Mind, A (2001)",4.5
u004,Catch Me If You Can (2002),4.0
u004,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.0
u004,Forrest Gump (1994),5.0
u004,"Incredibles, The (2004)",4.0
u004,Independence Day (a.k.a. ID4) (1996),4.5
u004,Jurassic Park (1993),5.0
u004,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.5
u004,"Lord of the Rings: The Return of the King, The (2003)",4.0
u004,"Lord of the Rings: The Two Towers, The (2002)",4.5
u004,Mission: Impossible (1996),4.0
u004,"Monsters, Inc. (2001)",4.0
u004,Ocean's Eleven (2001),4.0
u004,Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.5
u004,Shrek (2001),4.0
u004,"Silence of the Lambs, The (1991)",5.0
u004,"Sixth Sense, The (1999)",4.5
u004,Star Wars: Episode IV - A New Hope (1977),5.0
u004,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
u004,Star Wars: Episode VI - Return of the Jedi (1983),4.0
u004,"Terminator, The (1984)",5.0
u004,Toy Story (1995),4.5
u004,"Usual Suspects, The (1995)",4.5
u005,Apollo 13 (1995),5.0
u005,Braveheart (1995),5.0
u005,Forrest Gump (1994),5.0
u005,"Fugitive, The (1993)",5.0
u005,Good Will Hunting (1997),4.0
u005,Independence Day (a.k.a. ID4) (1996),4.0
u005,Jurassic Park (1993),4.0
u005,Mission: Impossible (1996),4.0
u005,Saving Private Ryan (1998),5.0
u005,"Shawshank Redemption, The (1994)",4.0
u005,"Silence of the Lambs, The (1991)",5.0
u005,Star Wars: Episode VI - Return of the Jedi (1983),4.0
u005,Terminator 2: Judgment Day (1991),4.0
u005,True Lies (1994),4.0
u006,Alien (1979),5.0
u006,Aliens (1986),5.0
u006,American Beauty (1999),4.0
u006,American History X (1998),4.5
u006,Back to the Future (1985),5.0
u006,"Beautiful Mind, A (2001)",5.0
u006,Catch Me If You Can (2002),5.0
u006,Forrest Gump (1994),5.0
u006,Gladiator (2000),5.0
u006,"Godfather, The (1972)",4.0
u006,"Green Mile, The (1999)",5.0
u006,"Matrix, The (1999)",4.0
u006,Pulp Fiction (1994),4.0
u006,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.0
u006,Schindler's List (1993),5.0
u006,"Shawshank Redemption, The (1994)",5.0
u006,Star Wars: Episode IV - A New Hope (1977),5.0
u006,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
u006,Star Wars: Episode VI - Return of the Jedi (1983),5.0
u006,Terminator 2: Judgment Day (1991),5.0
u006,"Terminator, The (1984)",4.0
u007,Alien (1979),4.0
u007,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.0
u007,Apocalypse Now (1979),4.0
u007,Blade Runner (1982),4.5
u007,"Dark Knight, The (2008)",4.5
u007,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.5
u007,Fargo (1996),4.5
u007,Full Metal Jacket (1987),4.5
u007,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
u007,Memento (2000),4.5
