date,store_nbr,family,sales,onpromotion
2024-01-03,12,BEVERAGES,402.10,1
2024-01-03,12,BREAD,88.00,0
2024-01-04,12,BEVERAGES,377.50,1
2024-01-05,12,BREAD,91.40,0
2024-01-08,12,BEVERAGES,410.00,0
2024-01-09,12,BREAD,84.20,0
2024-01-11,12,BEVERAGES,433.75,1
2024-01-15,12,BEVERAGES,455.00,1
2024-01-16,12,BREAD,79.90,0
2024-01-22,12,BEVERAGES,398.25,0
2024-01-23,12,BREAD,86.60,0
2024-01-29,12,BEVERAGES,421.00,1
2024-01-03,44,BEVERAGES,903.20,0
2024-01-04,44,BREAD,142.00,0
2024-01-09,44,BEVERAGES,884.50,0
2024-01-10,44,BREAD,151.30,1
2024-01-16,44,BEVERAGES,921.75,1
2024-01-17,44,BREAD,138.80,0
2024-01-23,44,BEVERAGES,876.40,0
2024-01-24,44,BREAD,147.10,0
2024-01-30,44,BEVERAGES,933.60,1
2024-02-05,12,BEVERAGES,388.90,0
2024-02-06,12,BREAD,90.10,0
2024-02-06,44,BEVERAGES,912.30,0
2024-02-12,12,BEVERAGES,404.55,1
2024-02-13,44,BREAD,144.90,0
2024-02-19,44,BEVERAGES,897.05,0
2024-02-20,12,BREAD,88.75,0
